,player,DRAPM,ORAPM,Total_RAPM
381,Alonya Waldon,0.2349,3.842,4.0768
382,Althea Kara Angeles,1.8185,4.2304,6.0488
383,Alva Hedrich,0.595,0.5344,1.1293
384,Alva Mofalk,-2.4127,0.9961,-1.4165
385,Aly Avrach,-0.3191,0.9268,0.6077
386,Aly Wadkovsky,-1.4558,-0.992,-2.4478
387,Alyse Aby,-2.7715,-1.4985,-4.27
388,Alyse Holliman,-2.6507,1.5576,-1.0931
389,Alyson Deaver,-0.938,0.4782,-0.4598
390,Alyssa Andrews,1.788,3.173,4.961
391,Alyssa Berry,-1.5212,1.5787,0.0576
392,Alyssa Blanck,0.6085,-0.361,0.2475
393,Alyssa Brown,1.3726,2.1267,3.4994
394,Alyssa Chapman,-0.3342,-0.5251,-0.8593
395,Alyssa Christensen,-1.2061,2.9866,1.7805
396,Alyssa Clutter,-0.7681,2.6978,1.9297
397,Alyssa Costigan,0.7058,-0.522,0.1838
398,Alyssa Crockett,-1.4776,3.7316,2.254
399,Alyssa Durazo-Frescas,1.0688,8.7473,9.8161
400,Alyssa Ervin,0.4825,2.8047,3.2873
401,Alyssa Febres,-0.4772,0.1854,-0.2918
402,Alyssa Fisher,-0.7912,4.6934,3.9022
403,Alyssa Green,0.2166,-0.0773,0.1393
404,Alyssa Green-White,-0.9383,-0.3114,-1.2497
405,Alyssa Hargrove,0.8036,3.2729,4.0766
406,Alyssa Jackson,-0.9761,-0.5761,-1.5522
407,Alyssa Jimenez,0.2978,2.5051,2.8029
408,Alyssa Latham,2.972,7.2697,10.2417
409,Alyssa Lewis,-3.1331,-1.4583,-4.5914
410,Alyssa Marin,-1.8227,4.7844,2.9617
411,Alyssa Moreland,1.9743,0.5871,2.5614
412,Alyssa Nielsen,-5.2904,0.3394,-4.951
413,Alyssa Parmer,0.0289,-0.3089,-0.28
414,Alyssa Phillip,-0.4331,1.3478,0.9147
415,Alyssa Rossignol,0.6597,-1.5734,-0.9136
416,Alyssa Sand,0.0754,0.6109,0.6863
417,Alyssa Staten,-2.4587,-1.2243,-3.683
418,Alyssa Tarpley,1.7628,-0.119,1.6438
419,Alyssa Ustby,5.7078,4.4594,10.1672
420,Alyssa Williams,-0.5581,0.0841,-0.474
421,Amaia Jackson,-0.1422,0.19,0.0478
422,Amalie Langer,0.4885,1.9008,2.3892
423,Amanda Ajobiewe,0.1439,0.5457,0.6896
424,Amanda Barcello,0.0995,1.7309,1.8304
425,Amanda Blake,0.6384,3.4107,4.0491
426,Amanda Edwards,-0.2658,-0.5495,-0.8153
427,Amanda Mitchell,0.0739,0.048,0.1219
428,Amanda Muse,-1.0068,3.9613,2.9545
429,Amanda Olinger,0.927,-0.1858,0.7412
430,Amanda Zeno,-0.051,0.3837,0.3327
431,Amandine Amorich,-1.8441,1.4963,-0.3477
432,Amani Bartlett,-0.3269,-1.0908,-1.4177
433,Amani Freeman,-2.4205,2.0777,-0.3428
434,Amani Jenkins,-0.4537,1.2923,0.8385
435,Amani Williams,-0.9927,-1.159,-2.1517
436,Amany Lopez,-1.4693,-1.4478,-2.9171
437,Amarachi Kimpson,0.1445,7.7379,7.8825
438,Amarah Streiff,-2.2195,1.307,-0.9125
439,Amari Bonds,-0.7671,0.481,-0.2861
440,Amari Conn,0.1196,0.1298,0.2494
441,Amari Davis,-0.5076,2.3868,1.8792
442,Amari DeBerry,0.4709,-1.967,-1.4961
443,Amari Franklin,-1.6667,-1.5248,-3.1916
444,Amari Robinson,0.1151,5.4987,5.6138
445,Amari Smith,-1.319,-0.5142,-1.8332
446,Amari Whiting,0.9359,5.3145,6.2504
447,Amari Wright,2.864,5.043,7.907
448,Amaria McNear,-0.3726,1.7085,1.3359
449,Amaris Baker,-1.9258,4.4315,2.5057
450,Amauri Williams,-0.6738,-0.3825,-1.0563
451,Amaya Barnes,-0.4062,-0.1523,-0.5586
452,Amaya Battle,2.4925,6.3903,8.8828
453,Amaya Bonner,-0.5721,7.1552,6.5831
454,Amaya Brannon,1.2326,-0.6974,0.5352
455,Amaya Burch,0.4773,0.3767,0.8539
456,Amaya Dowdy,-3.7368,-1.8024,-5.5392
457,Amaya Evans,-2.1762,-2.3241,-4.5003
458,Amaya Ford,0.0028,0.2639,0.2667
459,Amaya Hamilton,1.1221,4.1265,5.2486
460,Amaya Harris,0.7298,0.5287,1.2586
461,Amaya Oliver,0.2812,2.5769,2.8582
462,Amaya Smith,-0.7766,-0.8778,-1.6544
463,Amaya Staton,1.1226,2.0412,3.1639
464,Amaya Stewart,-0.8119,-0.4836,-1.2955
465,Amaya Williams,-1.8224,3.196,1.3736
466,Ambah Kowcun,-0.7,3.1644,2.4644
