,player,DRAPM,ORAPM,Total_RAPM,team
618,Avery Brittingham,-0.7117,2.0008,1.2891,UT Arlington
619,Avery Broughton,0.3075,0.1022,0.4097,South Dakota
620,Avery Childers,0.2259,-0.127,0.099,Massachusetts
621,Avery Koenen,0.6679,1.6459,2.3137,North Dakota State
622,Avery O'Connor,-1.3958,-1.3458,-2.7417,New Hampshire
623,Avery O'Roke,0.2508,-0.4368,-0.186,NJIT
624,Avery Strickland,-0.8849,1.3058,0.4209,Tennessee
625,Avery Treadwell,-0.4437,0.5554,0.1118,Florida State
626,Avery Vansickle,0.3347,1.3773,1.712,SFA
627,Avyonce Carter,-0.257,1.5949,1.3378,Georgia Tech
628,Aya Keita,-0.3046,-0.779,-1.0836,San Francisco
629,Ayanna Jackson,-1.0553,-2.4143,-3.4696,Sacramento St.
630,Ayanna Khalfani,0.6671,0.8357,1.5028,UNC Greensboro
631,Ayanna Thompson,-0.5038,0.5445,0.0407,Ole Miss
632,Ayanna Townsend,0.2308,1.6384,1.8692,Duquesne
633,Ayen Angoi,-0.3534,-0.3816,-0.735,Louisiana Tech
634,Ayianna Johnson,-0.3844,-0.4933,-0.8777,Minnesota
635,Aylasia Fantroy,0.7372,0.3997,1.1368,Ohio
636,Aylesha Wade,0.6658,-1.3281,-0.6624,Charlotte
637,Ayoka Lee,4.1547,4.8389,8.9936,Kansas State
638,Aysia Hinton,-0.6139,-0.057,-0.6709,UMES
639,Aysia Proctor,1.0992,1.3881,2.4873,UTSA
640,Azana Baines,2.2945,2.2522,4.5467,Seton Hall
641,Azareya Kilgoe,-1.7063,-0.1876,-1.8938,Cornell
642,Azaria Robinson,-1.134,0.0735,-1.0605,Ark.-Pine Bluff
643,Aziaha James,3.376,4.3191,7.695,NC State
644,Azjah Reeves,-2.4683,-2.3555,-4.8238,McNeese
645,Azzi Fudd,-0.9379,0.9923,0.0544,UConn
646,Bailey Butler,1.3081,4.4611,5.7692,Green Bay
647,Bailey Garbee,-0.0865,-1.428,-1.5145,American
648,Bailey Lutes,-0.0261,-0.4053,-0.4314,UIC
649,Bailey Maupin,0.0701,1.4308,1.5009,Texas Tech
650,Bailey Tabeling,0.7317,1.7659,2.4976,Ohio
651,Bailey Trumm,0.3513,0.9021,1.2535,Western Caro.
652,Bailey Wilborn,-0.3634,-0.3589,-0.7223,Wyoming
653,Bailey Williams,0.9245,-1.394,-0.4694,Longwood
654,Barbora Tomancova,-0.2576,-1.9519,-2.2095,Evansville
655,Baylee Teal,-0.2773,0.0729,-0.2044,UMass Lowell
656,Bea Franklin,-0.0308,-0.0959,-0.1268,Arkansas
657,Beatrice Culliton,2.0772,1.2502,3.3274,Oklahoma
658,Becca Wilson,-0.3391,-0.2623,-0.6014,Manhattan
659,Becky Obinma,0.7508,1.7953,2.546,Notre Dame
660,Belen Morales Lopez,1.6535,-0.5099,1.1436,New Hampshire
661,Bella Earle,-0.7696,0.6131,-0.1565,Abilene Christian
662,Bella Finnegan,-2.1705,-0.742,-2.9125,Indiana State
663,Bella Fontleroy,5.6847,3.6998,9.3845,Baylor
664,Bella Hamel,-0.3272,-1.299,-1.6262,Oregon
665,Bella Hays,0.6988,0.1939,0.8927,Eastern Wash.
666,Bella LaChance,0.9809,0.3314,1.3122,Vanderbilt
667,Bella Mallory,0.2345,-1.5465,-1.312,Stonehill
668,Bella McLaughlin,0.5765,-0.4875,0.089,Providence
669,Bella Murekatete,2.0305,3.0407,5.0713,Washington State
670,Bella Nascimento,0.8958,-0.5939,0.3018,William & Mary
671,Bella Perkins,-2.2623,-0.7013,-2.9636,Pittsburgh
672,Bella Pucci,0.7425,-1.3543,-0.6118,Binghamton
673,Bella Ranallo,-0.2838,0.0257,-0.2581,Clemson
674,Bella Runyan,2.6409,1.6923,4.3332,Villanova
675,Bella Samz,0.4605,-0.2452,0.2153,Youngstown State
676,Bella Smuda,-0.0025,2.818,2.8155,Liberty
677,Bella Stuart,-1.2089,-0.4833,-1.6922,New Hampshire
678,Bella Toomey,-0.9979,-0.9642,-1.9621,FDU
679,Bella Vinson,-1.2829,1.6818,0.3989,Lipscomb
680,Bella Vito,0.2064,1.8375,2.0439,Vermont
681,Belle Kranbuhl,2.6061,0.3374,2.9435,Monmouth
682,Belle Lanpher,-0.6104,-2.4581,-3.0685,Central Conn. St.
683,Bengisu Alper,-0.525,-1.2031,-1.7281,Ohio
684,Benthe Versteeg,-1.2259,-0.9262,-2.152,Sacramento St.
685,Ber'Nyah Mayo,1.7679,1.0837,2.8515,St. John's (NY)
686,Beth Nelson,-0.7957,-0.9399,-1.7355,Brown
687,Betzalys Delgado,2.0135,-2.416,-0.4025,Nicholls
688,Beyonce Bea,0.9224,0.0469,0.9693,Washington State
689,Bianca Juzzo,0.5601,0.9037,1.4638,Kent State
690,Bineta Diatta,-0.0383,0.8322,0.7939,Fresno St.
691,Blair Schoenwald,0.7167,2.6577,3.3743,Belmont
692,Blake Matthews,0.7715,0.3028,1.0743,Bucknell
693,Blake O'Grady,0.2439,-0.3791,-0.1352,Missouri State
694,Blau Tor,0.3045,0.0662,0.3706,Columbia
695,Blessing King,0.7584,2.066,2.8244,Morehead State
696,Blessing Okoh,0.967,-2.6605,-1.6935,Winthrop
697,Blythe Pearson,2.8079,0.5186,3.3265,Lipscomb
698,Bobbi Smith,1.0241,0.5445,1.5686,East Carolina
699,Boston Berry,-3.4913,-0.6104,-4.1017,McNeese
700,Bralee Trice,0.1126,-0.8252,-0.7126,Bellarmine
701,Brandi Williams,0.9954,0.7688,1.7642,Louisiana
702,Braylyn Milton,0.5003,0.7595,1.2598,Cincinnati
703,Brazil Harvey-Carr,3.0406,2.1707,5.2112,Seton Hall
704,Bre Bellamy,-0.3025,-0.4893,-0.7918,Massachusetts
